,Banda ancha fija,Dial up,Total,id_calendario
0,11078691,12437,11091128,35
1,10946248,12436,10958684,34
2,10611390,12619,10624009,33
3,10476933,12861,10489794,32
4,10075184,10357,10085541,31
5,9852702,10382,9863084,30
6,9637956,10016,9647972,29
7,9561546,10016,9571562,28
8,9346183,10016,9356199,27
9,9021040,10016,9031056,26
10,8802435,9991,8812426,25
11,8783053,10128,8793181,24
12,9142891,21793,9164684,23
13,8938427,21754,8960181,22
14,8626323,21812,8648135,21
15,8451841,21814,8473655,20
16,8320223,26812,8347035,19
17,8083533,26911,8110444,18
18,8009981,27072,8037053,17
19,7842778,27444,7870222,16
20,7696594,28349,7724943,15
21,7401134,28530,7429664,14
22,7277314,28540,7305854,13
23,7223128,28545,7251673,12
24,7178340,28610,7206950,11
25,7097604,32475,7130079,10
26,6874704,32652,6907356,9
27,6952289,32542,6984831,8
28,6902267,32801,6935068,7
29,6783279,32909,6816188,6
30,6699714,38018,6737732,5
31,6559172,39324,6598496,4
32,6559264,36007,6595271,3
33,6428329,36139,6464468,2
34,6362108,36290,6398398,1
