,Provincia,Población en 2022[20]​>
0,Buenos Aires,17569053
1,Córdoba,3978984
2,Santa Fe,3556522
3,Capital Federal,3120612
4,Mendoza,2014533
5,Tucumán,1703186
6,Salta,1440672
7,Entre Ríos,1426426
8,Misiones,1280960
9,Corrientes,1197553
10,Chaco,1142963
11,Santiago Del Estero,1054028
12,San Juan,818234
13,Jujuy,797955
14,Río Negro,762067
15,Neuquén,726590
16,Formosa,606041
17,Chubut,603120
18,San Luis,540905
19,Catamarca,429556
20,La Rioja,384607
21,La Pampa,366022
22,Santa Cruz,333473
23,Tierra Del Fuego,190641
